CUSTOMERID,FIRSTNAME,LASTNAME,PHONENO,ADDRESS,ZIPCODE
1,DE CAIRE,Lloyd,6731192012,56 Saginaw Street,10000-0051
2,BAUER,Jacob,3774806550,38 Lachine Street,10000-0051
3,DENNIS,Edward,4415948226,53 Ossineke Court,10000-0051
4,GAGNON,Christine,3908139978,26 South Branch Street,10000-0100
5,GREENGTSKI,Alfred,2818095642,67 Detroit Road,10000-0100
6,ELLSWORTH,Clyde,5168386894,18 Essexville Street,10000-0100
7,CONNON,Thomas,5142161686,67 Flint Street,10000-0100
8,BAKER,Robert,7693603941,65 Krakow Street,10000-0100
9,GATZKE,Edward,3332797170,27 Detroit Street,10000-0100
10,BESAU,Leah,6821034378,37 Hillman Street,10000-0100
11,FORTIER,Ernest,4933566833,68 Clinton Street,10000-0100
12,GILLARD,Katherine,3691697299,41 Onaway Court,10000-0100
13,GILLILAND,William,6638218200,38 Harrisville Trail,10000-0100
14,ELLIOTT,Lillian,1011034169,66 Dublin Street,10000-0407
15,GAUTHIER,William,3377924593,17 Hillman Street,10000-0407
16,CRAIGHEAD,John,4166601361,27 Lansing Street,10000-0407
17,GREER,Ada,3794216291,43 Alpena Road,10000-0407
18,GORSKI,Frank,9753378362,34 Atlanta Street,10000-0407
19,GLOMSKI,John,7026359829,56 Harrisville Lane,10000-0407
20,DOOLEY Sr.,Eugene,2667444017,66 Picture Rocks Street,10000-0407
21,COUSINEAU,Rudolph,7416222475,3 Barton City Street,10000-0407
22,COUSINEAU,Paul,6543459848,65 Posen Street,10000-0407
23,CONNORS,Patrick,3415948501,3 Cheboygan Street,10000-0407
24,GUNN,James,8626828804,29 Harrisville Lane,10000-0407
25,BUCHLER,Tillie,4779759578,38 Ossineke Rd,10000-0407
26,GJOURD,Otto,6871491999,38 Ann Arbor Rd,10000-0407
27,BECK,W.,8256335912,21 Rogers City Place,10000-0407
28,ELOWSKY,Richard,2899076941,67 Detroit Street,10000-0439
29,GARDNER,Clare,9528451283,59 Trenton Street,10000-0439
30,BRILINSKI,William,8143662258,51 Port Orange Street,10000-0439
31,GOOLEY,Peter,6637028338,35 Detroit Street,10000-0439
32,GERARD,Eva,9209862959,14 Dearborn Road,10000-0439
33,FLANNIGAN,Thomas,9622199992,57 Hillman Street,10000-0439
34,BUNTON,Gerald,7914364518,70 Onaway Street,10000-0439
35,BENSON,Thomas,8406306132,12 Spratt Street,10000-0439
36,EDWARDS,Newman,4342227203,66 Long Rapids Street,10000-0439
37,DUNLOP,James,8243444763,28 Detroit Lane,10000-0439
38,ALEXANDER,George,9857212004,63 Saulte Street,10000-0439
39,HABERMEHL,Anna,2067613569,40 Wilson Street,10000-0439
40,COLLINS,Margaret,3155016572,14 Flint Rd,10000-0439
41,COLE,Glenn,1587836031,31 Lincoln Place,10000-0439
42,BELAND,Joseph,1696697538,52 Chapel Hill Drive,10000-0439
43,ERSTAD,Melvin,8765174982,54 Cadillac Road,10000-0439
44,DE VOLL,William,2173813683,20 Posen Street,10000-0439
45,CLARK,Patrick,8145154516,37 Grand Lake Street,10000-0439
46,DIETZ,Ann,8134839683,10 Ann Arbor Street,10000-0439
47,CRAMER,John,3022057028,41 Greenbush Road,10000-0439
48,FRASER,Reginald,4353262566,37 Wolf Creek Place,10000-0439
49,BURNHAM,Charles,3237167538,3 Spratt Street,10000-0439
50,BROCKER,Gustav,3195427241,44 Spruce Street,10000-0439
51,COLBY,Myron,7863275028,56 Lachine Place,10000-2241
52,GIBSON,Margaret,4443904813,5 Livonia Place,10000-2241
53,BENJAMIN,Clarence,8673027344,47 Spruce Street,10000-2241
54,COOK,Jason,7315124034,10 Bay City Street,10000-2241
55,CULLIGAN,Rose,6973976887,48 Wilson Court,10000-2241
56,BOYNTON,LeRoy,3866812240,26 Lewiston Street,10000-2241
57,FLOOD,Herbert,1573452168,25 Ossineke Street,10000-2241
