ORDERID,CUSTOMERID,SALES_EMP_SSN,ORDER_SHIP_METHOD
1,1,100357530,FEDEX
2,2,100598775,FEDEX
3,3,100722388,FEDEX
4,4,100951116,FEDEX
5,5,101198259,FEDEX
6,6,101283318,FEDEX
7,7,101311336,FEDEX
8,8,101475039,FEDEX
9,9,101478432,FEDEX
10,10,101751112,FEDEX
11,11,101968468,FEDEX
12,12,101979337,FEDEX
13,13,102097917,FEDEX
14,14,102357934,FEDEX
15,15,102528862,FEDEX
16,16,102870643,FEDEX
17,17,103198973,FEDEX
18,18,103202884,FEDEX
19,19,103303643,FEDEX
20,20,103311780,FEDEX
21,21,103548604,FEDEX
22,22,104019962,FEDEX
23,23,10420165,FEDEX
24,24,104323428,FEDEX
25,25,104383613,FEDEX
26,26,104480966,FEDEX
27,27,104877638,FEDEX
28,28,105035577,FEDEX
29,29,105044503,FEDEX
30,30,105340542,FEDEX
31,31,10554786,FEDEX
32,32,105709809,FEDEX
33,33,105859277,FEDEX
34,34,106020673,FEDEX
35,35,106351289,FEDEX
36,36,10697961,FEDEX
37,37,107061167,FEDEX
38,38,107069132,FEDEX
39,39,107420756,FEDEX
40,40,107841349,FEDEX
41,41,107848959,FEDEX
42,42,108354802,FEDEX
43,43,108387341,FEDEX
44,44,108515889,FEDEX
45,45,108567025,FEDEX
46,46,108707009,FEDEX
47,47,108793963,FEDEX
48,48,108968325,FEDEX
49,49,109112608,FEDEX
50,50,109306185,FEDEX
51,51,109332660,FEDEX
52,52,109416114,FEDEX
53,53,109425263,FEDEX
54,54,109573276,FEDEX
55,55,109696372,FEDEX
56,56,110199737,FEDEX
57,57,110420563,FEDEX
58,58,110467130,FEDEX
59,59,11070797,FEDEX
60,60,110777734,FEDEX
61,61,111313456,FEDEX
62,62,112039459,FEDEX
63,63,112063707,FEDEX
64,64,112093467,FEDEX
65,65,112133799,FEDEX
66,66,112267490,FEDEX
67,67,112503773,FEDEX
68,68,112864909,FEDEX
69,69,113155046,FEDEX
70,70,113760759,FEDEX
71,71,11392922,FEDEX
72,72,114238515,FEDEX
73,73,114277055,FEDEX
74,74,114304194,FEDEX
75,75,114552720,FEDEX
76,76,114649789,FEDEX
77,77,114940257,FEDEX
78,78,115091801,FEDEX
79,79,115862933,FEDEX
80,80,115879197,FEDEX
81,81,11607792,FEDEX
82,82,116386063,FEDEX
83,83,116467091,FEDEX
84,84,116659105,FEDEX
85,85,116908028,FEDEX
86,86,117036664,FEDEX
87,87,117326433,FEDEX
88,88,117471943,FEDEX
89,89,117664570,FEDEX
90,90,11771389,FEDEX
91,91,117796654,FEDEX
92,92,117823805,FEDEX
93,93,118093437,FEDEX
94,94,118142903,FEDEX
95,95,118192398,FEDEX
96,96,118989841,FEDEX
97,97,119346560,FEDEX
98,98,119421512,FEDEX
99,99,119619525,FEDEX
100,100,119653972,FEDEX
101,101,120187903,FEDEX
102,102,120249377,FEDEX
103,103,120461714,FEDEX
104,104,120563209,FEDEX
105,105,120577416,FEDEX
106,106,120759538,FEDEX
107,107,12087761,FEDEX
108,108,12106167,FEDEX
109,109,121074048,FEDEX
110,110,122242729,FEDEX
111,111,122752850,FEDEX
112,112,1230577,FEDEX
113,113,123133628,FEDEX
114,114,123652139,FEDEX
115,115,123668270,FEDEX
116,116,123744842,FEDEX
117,117,123810672,FEDEX
118,118,123889644,FEDEX
119,119,124095628,FEDEX
120,120,124135350,FEDEX
121,121,124635254,FEDEX
122,122,125143619,FEDEX
123,123,125852722,FEDEX
124,124,125914216,FEDEX
125,125,126025671,FEDEX
126,126,126265310,FEDEX
127,127,126447362,FEDEX
128,128,126748025,FEDEX
129,129,127034422,FEDEX
130,130,127054179,FEDEX
131,131,127138329,FEDEX
132,132,127340835,FEDEX
133,133,12766278,FEDEX
134,134,127779262,FEDEX
135,135,128097533,FEDEX
136,136,128443108,FEDEX
137,137,128518129,FEDEX
138,138,128612130,FEDEX
139,139,128696109,FEDEX
140,140,128727586,FEDEX
141,141,128740815,FEDEX
142,142,128861052,FEDEX
143,143,129569603,FEDEX
144,144,129770356,FEDEX
145,145,130288258,FEDEX
146,146,130353049,FEDEX
147,147,130397411,FEDEX
148,148,130678739,FEDEX
149,149,130952615,FEDEX
150,150,131562881,FEDEX
151,151,131812350,FEDEX
152,152,132034097,FEDEX
153,153,132717008,FEDEX
154,154,132723328,FEDEX
155,155,13321802,FEDEX
156,156,133358016,FEDEX
157,157,133388289,FEDEX
158,158,13350907,FEDEX
159,159,133629904,FEDEX
160,160,133903047,FEDEX
161,161,133959517,FEDEX
162,162,134017283,FEDEX
163,163,134123362,FEDEX
164,164,134342764,FEDEX
165,165,134350813,FEDEX
166,166,134425352,FEDEX
167,167,134460304,FEDEX
168,168,134943556,FEDEX
169,169,134949113,FEDEX
170,170,135567339,FEDEX
171,171,135823715,FEDEX
172,172,135962973,FEDEX
173,173,136188621,FEDEX
174,174,136426429,FEDEX
175,175,136927787,FEDEX
176,176,13707912,FEDEX
177,177,137091883,FEDEX
178,178,13715703,FEDEX
179,179,137332078,FEDEX
180,180,13741703,FEDEX
181,181,137850504,FEDEX
182,182,138034044,FEDEX
183,183,138099762,FEDEX
184,184,138837344,FEDEX
185,185,138911784,FEDEX
186,186,139088058,FEDEX
187,187,139523688,FEDEX
188,188,140277798,FEDEX
189,189,140824985,FEDEX
190,190,141247389,FEDEX
191,191,141472123,FEDEX
192,192,14177404,FEDEX
193,193,14222719,FEDEX
194,194,142359124,FEDEX
195,195,14292573,FEDEX
196,196,143193318,FEDEX
197,197,143580685,FEDEX
198,198,143707670,FEDEX
199,199,143865061,FEDEX
200,200,143905826,FEDEX
201,201,143944385,FEDEX
202,202,144207169,FEDEX
203,203,144248293,FEDEX
204,204,144308996,FEDEX
205,205,14431299,FEDEX
206,206,144930235,FEDEX
207,207,144979731,FEDEX
208,208,145472085,FEDEX
209,209,145612562,FEDEX
210,210,145783531,FEDEX
211,211,14627889,FEDEX
212,212,146543483,FEDEX
213,213,147107852,FEDEX
214,214,147576728,FEDEX
215,215,147683884,FEDEX
216,216,147711384,FEDEX
217,217,14772298,FEDEX
218,218,147940731,FEDEX
219,219,148330561,FEDEX
220,220,148828272,FEDEX
221,221,148945790,FEDEX
222,222,149761949,FEDEX
223,223,149918093,FEDEX
224,224,150992102,FEDEX
225,225,151119316,FEDEX
226,226,151322839,FEDEX
227,227,151515340,FEDEX
228,228,151599767,FEDEX
229,229,151833398,FEDEX
230,230,152022260,FEDEX
231,231,15332975,FEDEX
232,232,153458028,FEDEX
233,233,153484572,FEDEX
234,234,153902356,FEDEX
235,235,154015453,FEDEX
236,236,154506268,FEDEX
237,237,154981267,FEDEX
238,238,155155765,FEDEX
239,239,155305233,FEDEX
240,240,15598274,FEDEX
241,241,156546806,FEDEX
242,242,1565894,FEDEX
243,243,156613855,FEDEX
244,244,156703689,FEDEX
245,245,157043714,FEDEX
246,246,157222476,FEDEX
247,247,157243653,FEDEX
248,248,157571931,FEDEX
249,249,157743948,FEDEX
250,250,157802493,FEDEX
251,251,15812010,FEDEX
252,252,158344630,FEDEX
253,253,158364422,FEDEX
254,254,158853649,FEDEX
255,255,158965366,FEDEX
256,256,158986267,FEDEX
257,257,159276046,FEDEX
258,258,159306016,FEDEX
259,259,159523383,FEDEX
260,260,159575819,FEDEX
261,261,160012823,FEDEX
262,262,1602338,FEDEX
263,263,160870991,FEDEX
264,264,161097238,FEDEX
265,265,161128107,FEDEX
266,266,161895428,FEDEX
267,267,162051683,FEDEX
268,268,162145066,FEDEX
269,269,162221164,FEDEX
270,270,162557575,FEDEX
271,271,162986189,FEDEX
272,272,163662908,FEDEX
273,273,164248694,FEDEX
274,274,164334395,FEDEX
275,275,164743262,FEDEX
276,276,164977196,FEDEX
277,277,165050584,FEDEX
278,278,165484314,FEDEX
279,279,165493217,FEDEX
280,280,165879488,FEDEX
281,281,166407489,FEDEX
282,282,166770040,FEDEX
283,283,166816824,FEDEX
284,284,166821515,FEDEX
285,285,166878588,FEDEX
286,286,16705545,FEDEX
287,287,168044968,FEDEX
288,288,168644343,FEDEX
289,289,168695018,FEDEX
290,290,168986651,FEDEX
291,291,169157128,FEDEX
292,292,169700029,FEDEX
293,293,169701495,FEDEX
294,294,169751496,FEDEX
295,295,16978551,FEDEX
296,296,170224661,FEDEX
297,297,170716849,FEDEX
298,298,171353510,FEDEX
299,299,171687312,FEDEX
300,300,171948336,FEDEX
301,301,171994199,FEDEX
302,302,172574145,FEDEX
303,303,17278977,FEDEX
304,304,173110981,FEDEX
305,305,173113512,FEDEX
306,306,173172451,FEDEX
307,307,173457929,FEDEX
308,308,173665411,FEDEX
309,309,173780779,FEDEX
310,310,173975243,FEDEX
311,311,174272795,FEDEX
312,312,174568400,FEDEX
313,313,175030366,FEDEX
314,314,175372550,FEDEX
315,315,175484132,FEDEX
316,316,175754995,FEDEX
317,317,175813656,FEDEX
318,318,176105617,FEDEX
319,319,176213858,FEDEX
320,320,176253759,FEDEX
321,321,176273691,FEDEX
322,322,176531334,FEDEX
323,323,176860124,FEDEX
324,324,176937329,FEDEX
325,325,177108320,FEDEX
326,326,177151486,FEDEX
327,327,17728320,FEDEX
328,328,177501779,FEDEX
329,329,177733053,FEDEX
330,330,17840690,FEDEX
331,331,178441384,FEDEX
332,332,178557485,FEDEX
333,333,178605743,FEDEX
334,334,178716719,FEDEX
335,335,178815414,FEDEX
336,336,178981785,FEDEX
337,337,179047970,FEDEX
338,338,179330864,FEDEX
339,339,179464950,FEDEX
340,340,17955547,FEDEX
341,341,180198938,FEDEX
342,342,180229963,FEDEX
343,343,180769393,FEDEX
344,344,181136771,FEDEX
345,345,181584824,FEDEX
346,346,181802949,FEDEX
347,347,182219960,FEDEX
348,348,182240464,FEDEX
349,349,182292517,FEDEX
350,350,182351240,FEDEX
351,351,182436844,FEDEX
352,352,182546365,FEDEX
353,353,182740465,FEDEX
354,354,183039962,FEDEX
355,355,183363237,FEDEX
356,356,183516572,FEDEX
357,357,183735363,FEDEX
358,358,184277715,FEDEX
359,359,18437788,FEDEX
360,360,184603546,FEDEX
361,361,185087319,FEDEX
362,362,185437322,FEDEX
363,363,185624225,FEDEX
364,364,185670049,FEDEX
365,365,186218181,FEDEX
366,366,186781697,FEDEX
367,367,187265454,FEDEX
368,368,187315126,FEDEX
369,369,187441805,FEDEX
370,370,18761147,FEDEX
371,371,187621307,FEDEX
372,372,187768161,FEDEX
373,373,188061925,FEDEX
374,374,188146451,FEDEX
375,375,188191650,FEDEX
376,376,188295567,FEDEX
377,377,189124029,FEDEX
378,378,189587670,FEDEX
379,379,189916518,FEDEX
380,380,19035184,FEDEX
381,381,190601252,FEDEX
382,382,190881161,FEDEX
383,383,191714891,FEDEX
384,384,191743461,FEDEX
385,385,19212896,FEDEX
386,386,192352424,FEDEX
387,387,192806318,FEDEX
388,388,193137628,FEDEX
389,389,193261261,FEDEX
390,390,193565368,FEDEX
391,391,194041143,FEDEX
392,392,194339959,FEDEX
393,393,194437156,FEDEX
394,394,194461463,FEDEX
395,395,194893592,FEDEX
396,396,195055738,FEDEX
397,397,195475014,FEDEX
398,398,195660648,FEDEX
399,399,195789879,FEDEX
400,400,195852049,FEDEX
401,401,195902845,FEDEX
402,402,196107699,FEDEX
403,403,196486958,FEDEX
404,404,196563321,FEDEX
405,405,197277367,FEDEX
406,406,1973064,FEDEX
407,407,197486263,FEDEX
408,408,19754265,FEDEX
409,409,19756067,FEDEX
410,410,198266902,FEDEX
411,411,198849057,FEDEX
412,412,199035078,FEDEX
413,413,199163233,FEDEX
414,414,199165944,FEDEX
415,415,199290143,FEDEX
416,416,199542561,FEDEX
417,417,199643950,FEDEX
418,418,199683013,FEDEX
419,419,199774141,FEDEX
420,420,200086784,FEDEX
421,421,200445050,FEDEX
422,422,200629983,FEDEX
423,423,200843595,FEDEX
424,424,201305891,FEDEX
425,425,202655461,FEDEX
426,426,203102939,FEDEX
427,427,203227446,FEDEX
428,428,203501658,FEDEX
429,429,203600722,FEDEX
430,430,204250859,FEDEX
431,431,204552080,FEDEX
432,432,204732545,FEDEX
433,433,204929224,FEDEX
434,434,205152524,FEDEX
435,435,206115857,FEDEX
436,436,206116896,FEDEX
437,437,206125845,FEDEX
438,438,206133411,FEDEX
439,439,206141327,FEDEX
440,440,20633268,FEDEX
441,441,206404336,FEDEX
442,442,206509517,FEDEX
443,443,206641955,FEDEX
444,444,206819286,FEDEX
445,445,207435970,FEDEX
446,446,207735670,FEDEX
447,447,20777785,FEDEX
448,448,20783808,FEDEX
449,449,208398239,FEDEX
450,450,208404387,FEDEX
451,451,208548497,FEDEX
452,452,208594592,FEDEX
453,453,208700039,FEDEX
454,454,208789056,FEDEX
455,455,208895817,FEDEX
456,456,209912494,FEDEX
457,457,209945493,FEDEX
458,458,210051371,FEDEX
459,459,210109568,FEDEX
460,460,210259160,FEDEX
461,461,210340092,FEDEX
462,462,210512658,FEDEX
463,463,210892799,FEDEX
464,464,211443792,FEDEX
465,465,211642440,FEDEX
466,466,211719092,FEDEX
467,467,212047844,FEDEX
468,468,212070767,FEDEX
469,469,212394072,FEDEX
470,470,212435580,FEDEX
471,471,212485963,FEDEX
472,472,212655994,FEDEX
473,473,212776587,FEDEX
474,474,212950910,FEDEX
475,475,21372486,FEDEX
476,476,213876499,FEDEX
477,477,214011115,FEDEX
478,478,214180223,FEDEX
479,479,214466155,FEDEX
480,480,214661665,FEDEX
481,481,215078517,FEDEX
482,482,215097726,FEDEX
483,483,215701214,FEDEX
484,484,215796344,FEDEX
485,485,216160392,FEDEX
486,486,216693648,FEDEX
487,487,217506654,FEDEX
488,488,217673197,FEDEX
489,489,217777199,FEDEX
490,490,218251888,FEDEX
491,491,218688607,FEDEX
492,492,218785852,FEDEX
493,493,218921589,FEDEX
494,494,219098226,FEDEX
495,495,219098888,FEDEX
496,496,219328881,FEDEX
497,497,219381188,FEDEX
498,498,219419244,FEDEX
499,499,219482423,FEDEX
500,500,220186099,FEDEX
501,501,220321713,FEDEX
502,502,220452566,FEDEX
503,503,220486931,FEDEX
504,504,220588195,FEDEX
505,505,220982338,FEDEX
506,506,221174077,FEDEX
507,507,221544007,FEDEX
508,508,221680292,FEDEX
509,509,221796903,FEDEX
510,510,22240607,FEDEX
511,511,222608280,FEDEX
512,512,223314536,FEDEX
513,513,223373180,FEDEX
514,514,223577803,FEDEX
515,515,2237502,FEDEX
516,516,22383470,FEDEX
517,517,224027590,FEDEX
518,518,224271368,FEDEX
519,519,224422089,FEDEX
520,520,224573918,FEDEX
521,521,22516177,FEDEX
522,522,225461682,FEDEX
523,523,226286284,FEDEX
524,524,226683590,FEDEX
525,525,226753923,FEDEX
526,526,22710965,FEDEX
527,527,227422514,FEDEX
528,528,227597990,FEDEX
529,529,227859282,FEDEX
530,530,228130926,FEDEX
531,531,228221833,FEDEX
532,532,228645792,FEDEX
533,533,228672871,FEDEX
534,534,228762664,FEDEX
535,535,228803480,FEDEX
536,536,228849871,FEDEX
537,537,228892517,FEDEX
538,538,229627833,FEDEX
539,539,229703565,FEDEX
540,540,230234801,FEDEX
541,541,230614211,FEDEX
542,542,231342040,FEDEX
543,543,231644866,FEDEX
544,544,23193706,FEDEX
545,545,231963404,FEDEX
546,546,231978209,FEDEX
547,547,232415816,FEDEX
548,548,232576820,FEDEX
549,549,232722482,FEDEX
550,550,23277423,FEDEX
551,551,232820285,FEDEX
552,552,233107035,FEDEX
553,553,233293210,FEDEX
554,554,233311345,FEDEX
555,555,233511506,FEDEX
556,556,233759926,FEDEX
557,557,233818873,FEDEX
558,558,234395947,FEDEX
559,559,235708802,FEDEX
560,560,235719439,FEDEX
561,561,235726048,FEDEX
562,562,236212542,FEDEX
563,563,236247146,FEDEX
564,564,236342662,FEDEX
565,565,23657906,UPS
566,566,236603804,UPS
567,567,237123378,UPS
568,568,237467268,UPS
569,569,237662623,UPS
570,570,238041687,UPS
571,571,238506862,UPS
572,572,238952970,UPS
573,573,239029124,UPS
574,574,239068322,UPS
575,575,239213402,UPS
576,576,239375140,UPS
577,577,239433351,UPS
578,578,23951103,UPS
579,579,239856684,UPS
580,580,240394154,UPS
581,581,240863115,UPS
582,582,241056306,UPS
583,583,241501792,UPS
584,584,241626753,UPS
585,585,24179083,UPS
586,586,242025912,UPS
587,587,24222148,UPS
588,588,242824678,UPS
589,589,243658182,UPS
590,590,243922541,UPS
591,591,243928992,UPS
592,592,243961063,UPS
593,593,243986248,UPS
594,594,244205997,UPS
595,595,244430940,UPS
596,596,244602637,UPS
597,597,244620529,UPS
598,598,244787341,UPS
599,599,24499944,UPS
600,600,245360446,UPS
601,601,245644219,UPS
602,602,246115331,UPS
603,603,246372633,UPS
604,604,246499783,UPS
605,605,246739824,UPS
606,606,247145365,UPS
607,607,247822689,UPS
608,608,248275630,UPS
609,609,248545047,UPS
610,610,248690607,UPS
611,611,248839634,UPS
612,612,248930707,UPS
613,613,249055200,UPS
614,614,249163852,UPS
615,615,249420875,UPS
616,616,249910984,UPS
617,617,250207334,UPS
618,618,250813206,UPS
619,619,251261377,UPS
620,620,25128998,UPS
621,621,251583175,UPS
622,622,25168087,UPS
623,623,251889705,UPS
624,624,252189705,UPS
625,625,252222833,UPS
626,626,252260668,UPS
627,627,252351183,UPS
628,628,252358758,UPS
629,629,252361113,UPS
630,630,252488186,UPS
631,631,252782207,UPS
632,632,253465823,UPS
633,633,25364799,UPS
634,634,253746559,UPS
635,635,254376178,UPS
636,636,254534137,UPS
637,637,255157619,UPS
638,638,255528771,UPS
639,639,255797213,UPS
640,640,256237293,UPS
641,641,257379471,UPS
642,642,257410714,UPS
643,643,257743823,UPS
644,644,257762198,UPS
645,645,257798097,UPS
646,646,258417665,UPS
647,647,258593579,UPS
648,648,25901452,UPS
649,649,259458890,UPS
650,650,25950932,UPS
651,651,25955392,UPS
652,652,259958208,UPS
653,653,26030602,UPS
654,654,260318519,UPS
655,655,260585449,UPS
656,656,260769243,UPS
657,657,260913946,UPS
658,658,261056569,UPS
659,659,261261919,UPS
660,660,261436149,UPS
661,661,261735445,UPS
662,662,262107180,UPS
663,663,262192331,UPS
664,664,262432590,UPS
665,665,263128566,UPS
666,666,263539665,UPS
667,667,26382657,UPS
668,668,264183525,UPS
669,669,264353747,UPS
670,670,264600934,UPS
671,671,264646054,UPS
672,672,264753274,UPS
673,673,264955978,UPS
674,674,265504136,UPS
675,675,265614138,UPS
676,676,265826929,UPS
677,677,266255571,UPS
