PAYMENTID,ORDERID,CARD_EXP_DATE,CARD_NUMBER,PAYMENT_AMOUNT,PAYMENT_METHOD
1,1,11-Nov-02,1851851849646360,44.84,VISA
2,2,11-Nov-02,1851851849646360,182.9,VISA
3,3,11-Nov-02,1851851849646370,178.18,VISA
4,4,11-Nov-02,1851851849646370,138.06,VISA
5,5,11-Nov-02,1851851849646370,144.55,VISA
6,6,11-Nov-02,1851851849646370,148.09,VISA
7,7,11-Nov-02,1851851849646370,148.09,VISA
8,8,11-Nov-02,1851851849646370,152.22,VISA
9,9,11-Nov-02,1851851849646370,152.22,VISA
10,10,11-Nov-02,1851851849646380,173.46,VISA
11,11,11-Nov-02,1851851849646380,330.99,VISA
12,12,11-Nov-02,1851851849646380,384.68,VISA
13,13,11-Nov-02,1851851849646380,381.73,VISA
14,14,11-Nov-02,1851851849646380,123.9,VISA
15,15,11-Nov-02,1851851849646380,90.27,VISA
16,16,11-Nov-02,1851851849646390,90.27,VISA
17,17,11-Nov-02,1851851849646390,110.33,VISA
18,18,11-Nov-02,1851851849646390,113.28,VISA
19,19,11-Nov-02,1851851849646390,114.46,VISA
20,20,11-Nov-02,1851851849646390,98.53,VISA
21,21,11-Nov-02,1851851849646390,98.53,VISA
22,22,11-Nov-02,1851851849646390,110.33,VISA
23,23,11-Nov-02,1851851849646400,115.05,VISA
24,24,11-Nov-02,1851851849646400,122.13,VISA
25,25,11-Nov-02,1851851849646400,98.53,VISA
26,26,11-Nov-02,1851851849646400,503.27,VISA
27,27,11-Nov-02,1851851849646400,503.27,VISA
28,28,11-Nov-02,1851851849646400,94.99,VISA
29,29,11-Nov-02,1851851849646400,101.48,VISA
30,30,11-Nov-02,1851851849646410,115.05,VISA
31,31,11-Nov-02,1851851849646410,94.99,VISA
32,32,11-Nov-02,1851851849646410,101.48,VISA
33,33,11-Nov-02,1851851849646410,389.99,VISA
34,34,11-Nov-02,1851851849646410,3046.17,VISA
35,35,11-Nov-02,1851851849646410,587.05,VISA
36,36,11-Nov-02,1851851849646420,704.46,VISA
37,37,11-Nov-02,1851851849646420,1945.82,VISA
38,38,11-Nov-02,1851851849646420,1334.58,VISA
39,39,11-Nov-02,1851851849646420,2617.83,VISA
40,40,11-Nov-02,1851851849646420,118.59,VISA
41,41,11-Nov-02,1851851849646420,118.59,VISA
42,42,11-Nov-02,1851851849646420,127.44,VISA
43,43,11-Nov-02,1851851849646430,118.59,VISA
44,44,11-Nov-02,1851851849646430,93.81,VISA
45,45,11-Nov-02,1851851849646430,93.81,VISA
46,46,11-Nov-02,1851851849646430,25.22,VISA
47,47,11-Nov-02,1851851849646430,25.22,VISA
48,48,11-Nov-02,1851851849646430,27.75,VISA
49,49,11-Nov-02,1851851849646430,27.75,VISA
50,50,11-Nov-02,1851851849646440,27.75,VISA
51,51,11-Nov-02,1851851849646440,30.52,VISA
52,52,11-Nov-02,1851851849646440,30.52,VISA
53,53,11-Nov-02,1851851849646440,30.97,VISA
54,54,11-Nov-02,1851851849646440,30.97,VISA
55,55,11-Nov-02,1851851849646440,30.97,VISA
56,56,11-Nov-02,1851851849646450,31.67,VISA
57,57,11-Nov-02,1851851849646450,58.7,VISA
58,58,11-Nov-02,1851851849646450,85.4,VISA
59,59,11-Nov-02,1851851849646450,6.67,VISA
60,60,11-Nov-02,1851851849646450,11.12,VISA
61,61,11-Nov-02,1851851849646450,8.89,VISA
62,62,11-Nov-02,1851851849646450,11.12,VISA
63,63,11-Nov-02,1851851849646460,11.86,VISA
64,64,11-Nov-02,1851851849646460,12.6,VISA
65,65,11-Nov-02,1851851849646460,17.05,VISA
66,66,11-Nov-02,1851851849646460,25.95,VISA
67,67,11-Nov-02,1851851849646460,45.22,VISA
68,68,11-Nov-02,1851851849646460,142.34,VISA
69,69,11-Nov-02,1851851849646470,97.86,VISA
70,70,11-Nov-02,1851851849646470,489.29,VISA
71,71,11-Nov-02,1851851849646470,260.95,VISA
72,72,11-Nov-02,1851851849646470,453.71,VISA
73,73,11-Nov-02,1851851849646470,1601.29,VISA
74,74,11-Nov-02,1851851849646470,1490.09,VISA
75,75,11-Nov-02,1851851849646480,111.2,VISA
76,76,11-Nov-02,1851851849646480,140.86,VISA
77,77,11-Nov-02,1851851849646480,6.84,VISA
78,78,11-Nov-02,1851851849646480,9.13,VISA
79,79,11-Nov-02,1851851849646480,9.13,VISA
80,80,11-Nov-02,1851851849646480,18.27,VISA
81,81,11-Nov-02,1851851849646480,15.98,VISA
82,82,11-Nov-02,1851851849646490,18.27,VISA
83,83,11-Nov-02,1851851849646490,15.98,VISA
84,84,11-Nov-02,1851851849646490,38.81,VISA
85,85,11-Nov-02,1851851849646490,34.25,VISA
86,86,11-Nov-02,1851851849646490,102.75,VISA
87,87,11-Nov-02,1851851849646490,93.61,VISA
88,88,11-Nov-02,1851851849646500,422.38,VISA
89,89,11-Nov-02,1851851849646500,315.07,VISA
90,90,11-Nov-02,1851851849646500,1217.69,VISA
